sentence1,sentence2,similarity
Der Gläubigerausschuss hat Anspruch auf Vergütung für seine Tätigkeit und auf Erstattung angemessener Auslagen.,Rechtsstreitigkeiten über das zur Insolvenzmasse gehörende Vermögen die zur Zeit der Eröffnung des Insolvenzverfahrens für den Schuldner anhängig sind können in der Lage in der sie sich befinden vom Insolvenzverwalter aufgenommen werden. Wird die Aufnahme verzögert so gilt § 239 Abs. 2 bis 4 der Zivilprozeßordnung entsprechend. Lehnt der Verwalter die Aufnahme des Rechtsstreits ab so können sowohl der Schuldner als auch der Gegner den Rechtsstreit aufnehmen.,widerspruch
"Die Weigerung eines Zeugen ist rechtmäßig, soweit nicht das Prozessgericht eine andere Entscheidung getroffen hat.",Über die Rechtmäßigkeit der Weigerung wird von dem Prozessgericht nach Anhörung der Parteien entschieden. Der Zeuge ist nicht verpflichtet sich durch einen Anwalt vertreten zu lassen. Gegen das Zwischenurteil findet sofortige Beschwerde statt.,perfekt
Marken werden nach § 37 auf absolute Schutzhindernisse geprüft. § 37 Abs. 2 ist nicht anzuwenden.,International registrierte Marken werden in gleicher Weise wie zur Eintragung in das Register angemeldete Marken nach § 37 auf absolute Schutzhindernisse geprüft. § 37 Abs. 2 ist nicht anzuwenden. An die Stelle der Zurückweisung der Anmeldung (§ 37 Abs. 1) tritt die Verweigerung des Schutzes.,perfekt
"Mieter haben die Rechte aus §§ 536 und 536a nur, wenn der Mangel nicht durch grobe Fahrlässigkeit verursacht wurde. Wenn der Mangel arglistig verschwiegen wurde, haben die Mieter nur die Rechte, wenn sie sich ihre Rechte vor der Annahme vorbehalten.",Kennt der Mieter bei Vertragsschluss den Mangel der Mietsache so stehen ihm die Rechte aus den §§ 536 und 536a nicht zu. Ist ihm der Mangel infolge grober Fahrlässigkeit unbekannt geblieben so stehen ihm diese Rechte nur zu wenn der Vermieter den Mangel arglistig verschwiegen hat. Nimmt der Mieter eine mangelhafte Sache an obwohl er den Mangel kennt so kann er die Rechte aus den §§ 536 und 536a nur geltend machen wenn er sich seine Rechte bei der Annahme vorbehält.,perfekt
Kostenverordnung zum Waffengesetz gilt weiter.,"Die Kostenverordnung zum Waffengesetz in der Fassung der Bekanntmachung vom 20. April 1990 (BGBl. I S. 780), die zuletzt durch Artikel 2 der Verordnung vom 10. Januar 2000 (BGBl. I S. 38) geändert worden ist, gilt in den Ländern bis zum 1. Oktober 2021 fort, solange die Länder keine anderweitigen Regelungen getroffen haben; für die Erhebung von Auslagen ist insoweit § 10 des Verwaltungskostengesetzes vom 23. Juni 1970 in der bis zum14. August 2013 geltenden Fassung weiter anzuwenden.",perfekt
"Schulden zwei Personen einander Leistungen die ihrem Gegenstand nach gleichartig sind, kann jeder Teil seine Forderung gegen die Forderung des anderen Teils aufrechnen.",Schulden zwei Personen einander Leistungen die ihrem Gegenstand nach gleichartig sind so kann jeder Teil seine Forderung gegen die Forderung des anderen Teils aufrechnen sobald er die ihm gebührende Leistung fordern und die ihm obliegende Leistung bewirken kann.,perfekt
"entsprechende Vorschriften dieses Gesetzes oder die entsprechenden landesrechtlichen Vorschriften gelten als entsprechende Vorschriften aus dem Gesetz, das nach Absatz 2 außer Kraft getreten ist.",(Inkrafttreten der ursprünglichen Fassung des Gesetzes) (Aufhebung von Vorschriften) Verweisungen auf Vorschriften die nach Absatz 2 außer Kraft getreten sind gelten als Verweisungen auf die entsprechenden Vorschriften dieses Gesetzes oder die entsprechenden landesrechtlichen Vorschriften.,perfekt
Anwaltsgericht für Rechtsanwälte zuständig.,Für das anwaltsgerichtliche Verfahren ist im ersten Rechtszug das Anwaltsgericht für Rechtsanwälte zuständig. Die örtliche Zuständigkeit des Anwaltsgerichts bestimmt sich nach dem Sitz der Rechtsanwaltskammer welcher der Rechtsanwalt zur Zeit der Einleitung des Verfahrens angehört.,perfekt
Rechtsanwalt darf Urkunden von Hand zu Hand bewirken. Gegen Zwischenurteil mündlich verhandelt werden. Beschwerde gegen Zwischenurteil sofort einlegen.,Den Rechtsanwälten steht es frei die Mitteilung von Urkunden von Hand zu Hand gegen Empfangsbescheinigung zu bewirken. Gibt ein Rechtsanwalt die ihm eingehändigte Urkunde nicht binnen der bestimmten Frist zurück so ist er auf Antrag nach mündlicher Verhandlung zur unverzüglichen Rückgabe zu verurteilen. Gegen das Zwischenurteil findet sofortige Beschwerde statt.,perfekt
Zwangsvollstreckung muss mindestens zwei Wochen vorher zugestellt werden.,Aus einem Kostenfestsetzungsbeschluss der nicht auf das Urteil gesetzt ist aus Beschlüssen nach § 794 Abs. 1 Nr. 4b sowie aus den nach § 794 Abs. 1 Nr. 5 aufgenommenen Urkunden darf die Zwangsvollstreckung nur beginnen wenn der Schuldtitel mindestens zwei Wochen vorher zugestellt ist.,perfekt
"Gegenstände, die zum alltäglichen Haushalt gehören, dürfen nicht gepfändet werden.",Wird eine durch ein Pfandrecht an einer beweglichen Sache gesicherte Forderung überwiesen so kann der Schuldner die Herausgabe des Pfandes an den Gläubiger verweigern bis ihm Sicherheit für die Haftung geleistet wird die für ihn aus einer Verletzung der dem Gläubiger dem Verpfänder gegenüber obliegenden Verpflichtungen entstehen kann.,widerspruch
Der Bundespräsident darf keine politischen oder Gesetzgebenden Funktionen ausüben.,Der Bundeskanzler bestimmt die Richtlinien der Politik und trägt dafür die Verantwortung. Innerhalb dieser Richtlinien leitet jeder Bundesminister seinen Geschäftsbereich selbständig und unter eigener Verantwortung. Über Meinungsverschiedenheiten zwischen den Bundesministern entscheidet die Bundesregierung. Der Bundeskanzler leitet ihre Geschäfte nach einer von der Bundesregierung beschlossenen und vom Bundespräsidenten genehmigten Geschäftsordnung.,widerspruch
"Prozessgericht kann Urteil über Einwendungen bestätigen, aufheben, aufheben oder erlassen.",Das Prozessgericht kann in dem Urteil durch das über die Einwendungen entschieden wird die in dem vorstehenden Paragraphen bezeichneten Anordnungen erlassen oder die bereits erlassenen Anordnungen aufheben abändern oder bestätigen. Für die Anfechtung einer solchen Entscheidung gelten die Vorschriften des § 718 entsprechend.,perfekt
"Prozessgericht kann Urkunde vorlegen, wenn Hindernisse beim Vorgehen erheblich sind.",Wenn eine Urkunde bei der mündlichen Verhandlung wegen erheblicher Hindernisse nicht vorgelegt werden kann oder wenn es bedenklich erscheint sie wegen ihrer Wichtigkeit und der Besorgnis ihres Verlustes oder ihrer Beschädigung vorzulegen so kann das Prozessgericht anordnen dass sie vor einem seiner Mitglieder oder vor einem anderen Gericht vorgelegt werde.,perfekt
Ehegatten haben gemeinschaftlich das Gesamtgut zu verwalten.,Wird das Gesamtgut von den Ehegatten gemeinschaftlich verwaltet so sind die Ehegatten insbesondere nur gemeinschaftlich berechtigt über das Gesamtgut zu verfügen und Rechtsstreitigkeiten zu führen die sich auf das Gesamtgut beziehen. Der Besitz an den zum Gesamtgut gehörenden Sachen gebührt den Ehegatten gemeinschaftlich. Ist eine Willenserklärung den Ehegatten gegenüber abzugeben so genügt die Abgabe gegenüber einem Ehegatten.,perfekt
"Die Strafe für den Täter oder Teilnehmer wird nach § 49 Abs. 1 mildernd oder ausgeschlossen, je nachdem, ob besondere persönliche Merkmale vorliegen, die die Strafe schärfen oder mildern.",Fehlen besondere persönliche Merkmale (§ 14 Abs. 1) welche die Strafbarkeit des Täters begründen beim Teilnehmer (Anstifter oder Gehilfe) so ist dessen Strafe nach § 49 Abs. 1 zu mildern. Bestimmt das Gesetz daß besondere persönliche Merkmale die Strafe schärfen mildern oder ausschließen so gilt das nur für den Beteiligten (Täter oder Teilnehmer) bei dem sie vorliegen.,perfekt
"Die Rechtswirkungen der Anerkennung können erst von dem Zeitpunkt an geltend gemacht werden, zu dem die Anerkennung wirksam wird.",Die Rechtswirkungen der Anerkennung können soweit sich nicht aus dem Gesetz anderes ergibt erst von dem Zeitpunkt an geltend gemacht werden zu dem die Anerkennung wirksam wird. Eine Anerkennung der Vaterschaft ist nicht wirksam solange die Vaterschaft eines anderen Mannes besteht. Eine Anerkennung unter einer Bedingung oder Zeitbestimmung ist unwirksam. Die Anerkennung ist schon vor der Geburt des Kindes zulässig.,perfekt
"Gerichtliche oder staatsanwaltschaftliche Entscheidungen, die Kosten verursacht haben, erlischt, soweit eine andere gerichtliche Entscheidung aufgehoben oder abgeändert wird. Die bereits gezahlten Kosten werden zurückerstattet.",Die §§ 54 und 55 gelten entsprechend für die Zwangsversteigerung von Schiffen Schiffsbauwerken und Luftfahrzeugen sowie für die Zwangsversteigerung und die Zwangsverwaltung von Rechten die den Vorschriften der Zwangsvollstreckung in das unbewegliche Vermögen unterliegen einschließlich der unbeweglichen Kuxe.,widerspruch
Insolvenzgericht ordnet Eintragung in Schuldnerverzeichnis an.,Das Insolvenzgericht ordnet die Eintragung in das Schuldnerverzeichnis nach § 882b der Zivilprozessordnung an. Eingetragen werden Schuldner 1.denen die Restschuldbefreiung nach den §§ 290 296 297 oder 297a oder auf Antrag eines Insolvenzgläubigers nach § 300 Absatz 3 versagt worden ist 2.deren Restschuldbefreiung widerrufen worden ist.Es übermittelt die Anordnung unverzüglich elektronisch dem zentralen Vollstreckungsgericht nach § 882h Absatz 1 der Zivilprozessordnung. § 882c Absatz 2 und 3 der Zivilprozessordnung gilt entsprechend.,perfekt
Der Vormund darf Vermögen des Mündels weder für sich noch für den Gegenvormund verwenden.,Der Vormund darf Vermögen des Mündels weder für sich noch für den Gegenvormund verwenden. Ist das Jugendamt Vormund oder Gegenvormund so ist die Anlegung von Mündelgeld gemäß § 1807 auch bei der Körperschaft zulässig bei der das Jugendamt errichtet ist.,perfekt
Der Eigentümer oder der Gläubiger kann die Sache gemeinsam unter Mitverschluss nehmen.,Steht dem Pfandgläubiger das Recht zu die Nutzungen zu ziehen so ist er verpflichtet für die Gewinnung der Nutzungen zu sorgen und Rechenschaft abzulegen. Der Reinertrag der Nutzungen wird auf die geschuldete Leistung und wenn Kosten und Zinsen zu entrichten sind zunächst auf diese angerechnet. Abweichende Bestimmungen sind zulässig.,widerspruch
"Notarische Beurkundung ist notwendig, wenn ein Schuldversprechen oder Schuldanerkenntnis erteilt wird.",Der Widerruf ist ausgeschlossen wenn der Schenker dem Beschenkten verziehen hat oder wenn seit dem Zeitpunkt in welchem der Widerrufsberechtigte von dem Eintritt der Voraussetzungen seines Rechts Kenntnis erlangt hat ein Jahr verstrichen ist. Nach dem Tode des Beschenkten ist der Widerruf nicht mehr zulässig.,widerspruch
"entsprechend anzuwenden sind die §§ 112 bis 117 des MarkenGesetzes mit der Maßgabe, daß die entsprechenden Vorschriften des Protokolls zum Madrider Markenabkommen an die Stelle treten.",Die §§ 112 bis 117 sind auf international registrierte Marken deren Schutz nach Artikel 3ter des Protokolls zum Madrider Markenabkommen auf das Gebiet der Bundesrepublik Deutschland erstreckt worden ist entsprechend anzuwenden mit der Maßgabe daß an die Stelle der in den §§ 112 bis 117 aufgeführten Vorschriften des Madrider Markenabkommens die entsprechenden Vorschriften des Protokolls zum Madrider Markenabkommen treten.,perfekt
"Vereine, die nicht rechtsfähig sind, haften nach den Regeln über die Gesellschaft.","Auf Vereine, die nicht rechtsfähig sind, finden die Vorschriften über die Gesellschaft Anwendung. Aus einem Rechtsgeschäft, das im Namen eines solchen Vereins einem Dritten gegenüber vorgenommen wird, haftet der Handelnde persönlich; handeln mehrere, so haften sie als Gesamtschuldner.",perfekt
"Gericht darf Beweise sammeln. Gericht hat die Möglichkeit Zeugen Sachverständigen oder sich selbst zu gestatten, während einer Vernehmung an einem anderen Ort zu bleiben.",Hat der Gläubiger nach Artikel 21 Abs. 2 Buchstabe b der Verordnung (EG) Nr. 861/2007 eine Übersetzung vorzulegen so ist diese in deutscher Sprache zu verfassen und von einer in einem der Mitgliedstaaten der Europäischen Union hierzu befugten Person zu erstellen.,widerspruch
Die Börsenaufsichtsbehörde unterrichtet die Bundesanstalt unverzüglich über Handelsaussetzungen und -einstellungen.,"Die Spurweite ist der kleinste Abstand der Innenflächen der Schienenköpfe im Bereich von 0 bis 14 mm unter Schienenoberkante (SO). Das Grundmaß der Spurweite beträgt 1.435 mm. Die Spurweite darf nicht größer sein als 1.465 mm in Hauptgleisen,1.470 mm;1.470 mm in Nebengleisen; sie darf nicht kleiner sein als 1.430 mm. In Bogen mit Radien unter 175 m darf die Spurweite folgende Werte nicht unterschreiten: BogenradienSpurweitemmmunter 175 bis 1501.435unter 150 bis 1251.440unter 125 bis 1001.445",widerspruch
Der Wert des Rechts auf wiederkehrende Nutzungen oder Leistungen wird nach dem dreieinhalbfachen Wert des einjährigen Bezuges berechnet. Bei bestimmter Dauer des Bezugsrechts ist der Gesamtbetrag der künftigen Bezüge maßgebend wenn er der geringere ist.,Der Wert des Rechts auf wiederkehrende Nutzungen oder Leistungen wird nach dem dreieinhalbfachen Wert des einjährigen Bezuges berechnet. Bei bestimmter Dauer des Bezugsrechts ist der Gesamtbetrag der künftigen Bezüge maßgebend wenn er der geringere ist.,perfekt
Die Bergfreie Bodenschätze müssen erlaubt oder verliehen werden.,Durch Grundabtretung können 1.das Eigentum einschließlich aus § 34 sich ergebender Befugnisse der Besitz und dingliche Rechte an Grundstücken 2.persönliche Rechte die zum Erwerb zum Besitz oder zur Nutzung von Grundstücken berechtigen oder deren Benutzung beschränken entzogen übertragen geändert mit einem dinglichen Recht belastet oder sonst beschränkt werden.,widerspruch
Schiedsvereinbarung ist eine Vereinbarung der Parteien alle oder einzelne Streitigkeiten die zwischen ihnen in Bezug auf ein bestimmtes Rechtsverhältnis vertraglicher oder nichtvertraglicher Art entstanden sind oder künftig entstehen der Entscheidung durch ein Schiedsgericht zu unterwerfen.,Schiedsvereinbarung ist eine Vereinbarung der Parteien alle oder einzelne Streitigkeiten die zwischen ihnen in Bezug auf ein bestimmtes Rechtsverhältnis vertraglicher oder nichtvertraglicher Art entstanden sind oder künftig entstehen der Entscheidung durch ein Schiedsgericht zu unterwerfen. Eine Schiedsvereinbarung kann in Form einer selbständigen Vereinbarung (Schiedsabrede) oder in Form einer Klausel in einem Vertrag (Schiedsklausel) geschlossen werden.,perfekt
"Kläger muss vor der Klage dem Beklagten den Übergang mitgeteilt und auf Verlangen nachgewiesen haben, bevor er die Prozesskosten trägt.",Macht der Kläger einen auf ihn übergangenen Anspruch geltend ohne dass er vor der Erhebung der Klage dem Beklagten den Übergang mitgeteilt und auf Verlangen nachgewiesen hat so fallen ihm die Prozesskosten insoweit zur Last als sie dadurch entstanden sind dass der Beklagte durch die Unterlassung der Mitteilung oder des Nachweises veranlasst worden ist den Anspruch zu bestreiten.,perfekt
"Versicherer hat Voraussetzungen des Wegfalls oder der Minderung des Anspruchs nachzuweisen, wenn Krankheiten oder Gebrechen bei der durch den Versicherungsfall verursachten Gesundheitsschädigung oder deren Folgen mitgewirkt haben.",Ist vereinbart dass der Anspruch auf die vereinbarten Leistungen entfällt oder sich mindert wenn Krankheiten oder Gebrechen bei der durch den Versicherungsfall verursachten Gesundheitsschädigung oder deren Folgen mitgewirkt haben hat der Versicherer die Voraussetzungen des Wegfalles oder der Minderung des Anspruchs nachzuweisen.,perfekt
"Wenn eine herausgegebene Sache im Gewahrsam eines Dritten ist, gibt es für den Gläubiger auf seinen Antrag den Anspruch des Schuldners auf Herausgabe der Sache nach den Vorschriften der Pfändung und Überweisung einer Geldforderung.",Soll auf Grund eines Urteils das eine Willenserklärung des Schuldners ersetzt eine Eintragung in ein öffentliches Buch oder Register vorgenommen werden so kann der Gläubiger an Stelle des Schuldners die Erteilung der im § 792 bezeichneten Urkunden verlangen soweit er dieser Urkunden zur Herbeiführung der Eintragung bedarf.,widerspruch
Die Vorschriften der §§ 491 bis 511 514 und 515 dürfen nicht verzerrt oder abgewichen werden.,Unterbleibt die Vollziehung der Auflage so kann der Schenker die Herausgabe des Geschenkes unter den für das Rücktrittsrecht bei gegenseitigen Verträgen bestimmten Voraussetzungen nach den Vorschriften über die Herausgabe einer ungerechtfertigten Bereicherung insoweit fordern als das Geschenk zur Vollziehung der Auflage hätte verwendet werden müssen. Der Anspruch ist ausgeschlossen wenn ein Dritter berechtigt ist die Vollziehung der Auflage zu verlangen.,widerspruch
"Schuldverhältnis erlischt, wenn Gläubiger andere Leistung an Erfüllungs statt annimmt.",Das Schuldverhältnis erlischt wenn der Gläubiger eine andere als die geschuldete Leistung an Erfüllungs statt annimmt. Übernimmt der Schuldner zum Zwecke der Befriedigung des Gläubigers diesem gegenüber eine neue Verbindlichkeit so ist im Zweifel nicht anzunehmen dass er die Verbindlichkeit an Erfüllungs statt übernimmt.,perfekt
Versicherer darf sich auf Vertragsbestimmungen nicht berufen.,Der Versicherer ist nicht zur Leistung verpflichtet wenn der Versicherungsnehmer vorsätzlich oder grob fahrlässig den Versicherungsfall herbeiführt. Der Versicherungsnehmer hat das Verhalten der Schiffsbesatzung bei der Führung des Schiffes nicht zu vertreten.,widerspruch
Vorsitzender ersetzt Gericht bei Beweisaufnahme.,"Soll die Beweisaufnahme durch ein anderes Gericht erfolgen, so ist das Ersuchungsschreiben von dem Vorsitzenden zu erlassen. Die auf die Beweisaufnahme sich beziehenden Verhandlungen übermittelt der ersuchte Richter der Geschäftsstelle des Prozessgerichts in Urschrift; die Geschäftsstelle benachrichtigt die Parteien von dem Eingang.",perfekt
"Die Gesellschaft ist fortbestehend, solange ein Gesellschafter die Geschäftsführung in seinem Namen ausübt.","Die Verwaltung des gemeinschaftlichen Gegenstands steht den Teilhabern gemeinschaftlich zu. Jeder Teilhaber ist berechtigt, die zur Erhaltung des Gegenstands notwendigen Maßregeln ohne Zustimmung der anderen Teilhaber zu treffen; er kann verlangen, dass diese ihre Einwilligung zu einer solchen Maßregel im Voraus erteilen.",widerspruch
Die Gerichtsverhandlung kann Zeugen oder Sachverständige hören.,In den Fällen des § 159a legt das Anwaltsgericht die Akten durch Vermittlung der Staatsanwaltschaft dem Anwaltsgerichtshof zur Entscheidung vor wenn es die Fortdauer des Verbotes für erforderlich hält oder die Staatsanwaltschaft es beantragt. Vor der Entscheidung des Anwaltsgerichtshofes ist der Rechtsanwalt zu hören. Die Prüfung der Fortdauer des Verbotes muß jeweils spätestens nach drei Monaten von dem Anwaltsgerichtshof wiederholt werden solange das anwaltsgerichtliche Verfahren noch nicht eingeleitet ist.,widerspruch
"Lebensmittel, die mit einer in Anlage 1 aufgeführten Bezeichnung versehen sind, dürfen nicht gewerbsmäßig in den Verkehr gebracht werden.",Lebensmittel die mit einer in Anlage 1 aufgeführten Bezeichnung versehen sind ohne der in Anlage 1 jeweils festgelegten Herstellungsanforderung oder § 2 Absatz 1 4 5 Satz 1 Absatz 6 oder 7 zu entsprechen dürfen gewerbsmäßig nicht in den Verkehr gebracht werden.,perfekt
"Die frühere letztwillige Verfügung des Erblassers wird aufgehoben, sofern sie das Recht des vertragsmäßig Bedachten beeinträchtigen würde.",Soweit der Erblasser zum Rücktritt berechtigt ist kann er nach dem Tode des anderen Vertragschließenden die vertragsmäßige Verfügung durch Testament aufheben. In den Fällen des § 2294 findet die Vorschrift des § 2336 Abs. 2 und 3 entsprechende Anwendung.,widerspruch
Die Revision findet nicht statt.,Das Revisionsgericht hat von Amts wegen zu prüfen ob die Revision an sich statthaft und ob sie in der gesetzlichen Form und Frist eingelegt und begründet ist. Mangelt es an einem dieser Erfordernisse so ist die Revision als unzulässig zu verwerfen. Die Entscheidung kann durch Beschluss ergehen.,widerspruch
Die Beratungsbehörde Beirat hat die Bundesnetzagentur bei der Erstellung von Berichten nach § 63 Absatz 3 zu beraten.,Die Bundesnetzagentur veröffentlicht einen jährlichen Überblick über ihre Verwaltungskosten und die insgesamt eingenommenen Abgaben. Soweit erforderlich werden Gebühren- und Beitragssätze in den Verordnungen nach § 91 Abs. 8 und § 92 Abs. 3 für die Zukunft angepasst.,widerspruch
"Der Gerichtshof vertagt die Verhandlungen, weil er sich dafür der Meinung ist, dass die von dem Vorsitzenden festgelegte Einlassungs- oder Ladungsfrist zu kurz ist.",Ist das Versäumnisurteil in gesetzlicher Weise ergangen so sind die durch die Versäumnis veranlassten Kosten soweit sie nicht durch einen unbegründeten Widerspruch des Gegners entstanden sind der säumigen Partei auch dann aufzuerlegen wenn infolge des Einspruchs eine abändernde Entscheidung erlassen wird.,widerspruch
"Die Gesamtkosten reduzieren sich, wenn der Darlehensnehmer seine Verpflichtungen vorzeitig erfüllt.",Wer eine Schenkung unter einer Auflage macht kann die Vollziehung der Auflage verlangen wenn er seinerseits geleistet hat. Liegt die Vollziehung der Auflage im öffentlichen Interesse so kann nach dem Tod des Schenkers auch die zuständige Behörde die Vollziehung verlangen.,widerspruch
"Wer Besitz entzieht oder stört, handelt sofern nicht das Gesetz die Entziehung oder die Störung gestattet.",Wer dem Besitzer ohne dessen Willen den Besitz entzieht oder ihn im Besitz stört handelt sofern nicht das Gesetz die Entziehung oder die Störung gestattet widerrechtlich (verbotene Eigenmacht). Der durch verbotene Eigenmacht erlangte Besitz ist fehlerhaft. Die Fehlerhaftigkeit muss der Nachfolger im Besitz gegen sich gelten lassen wenn er Erbe des Besitzers ist oder die Fehlerhaftigkeit des Besitzes seines Vorgängers bei dem Erwerb kennt.,perfekt
"Wer es unternimmt, mit Gewalt oder durch Drohung mit Gewalt 1.das Gebiet eines Landes ganz oder zum Teil einem anderen Land der Bundesrepublik Deutschland einzuverleiben oder einen Teil eines Landes von diesem abzutrennen oder2.die auf der Verfassung eines Landes beruhende verfassungsmäßige Ordnung zu ändern will, wird mit Freiheitsstra",Neben einer Freiheitsstrafe von mindestens sechs Monaten wegen einer vorsätzlichen Straftat nach diesem Abschnitt kann das Gericht die Fähigkeit öffentliche Ämter zu bekleiden die Fähigkeit Rechte aus öffentlichen Wahlen zu erlangen und das Recht in öffentlichen Angelegenheiten zu wählen oder zu stimmen aberkennen (§ 45 Abs. 2 und 5).,widerspruch
"Die Erbschaft verteilt sich so, dass jeder der ohne Bruchteile eingesetzten Erben so viel erhält wie der mit dem geringsten Bruchteil bedachte Erbe.",Sind von mehreren Erben die einen auf Bruchteile die anderen ohne Bruchteile eingesetzt so erhalten die letzteren den freigebliebenen Teil der Erbschaft. Erschöpfen die bestimmten Bruchteile die Erbschaft so tritt eine verhältnismäßige Minderung der Bruchteile in der Weise ein dass jeder der ohne Bruchteile eingesetzten Erben so viel erhält wie der mit dem geringsten Bruchteil bedachte Erbe.,perfekt
"Eigentümer kann Gemeinde verlangen, das Grundstück zu übernehmen, wenn er mit Rücksicht auf die Erklärung zum städtebaulichen Entwicklungsbereich oder den Stand der Entwicklungsmaßnahme wirtschaftlich nicht mehr darauf verzichten kann, das Grundstück zu behalten oder in der bisherigen oder einer anderen zulässigen",Örtlich zuständig ist die Behörde in deren Bereich das betroffene Grundstück liegt. Werden Grundstücke betroffen die örtlich oder wirtschaftlich zusammenhängen und demselben Eigentümer gehören und liegen diese Grundstücke im Bereich mehrerer nach diesem Gesetzbuch sachlich zuständiger Behörden so wird die örtlich zuständige Behörde durch die nächsthöhere gemeinsame Behörde bestimmt. Ist eine höhere Verwaltungsbehörde nicht vorhanden so ist die Oberste Landesbehörde zugleich höhere Verwaltungsbehörde.,widerspruch
"beamtinnen und Beamte dürfen ihre Pflichten aus dem Beamtenverhältnis ruhen oder die ohne Besoldung beurlaubt sind. Sie dürfen sich erneut um ein Mandat bewerben, wenn sie ihr Mandat aufgegeben haben. Während der Zeit zwischen zwei Wahlperioden gilt dies entsprechend.",Wenn nicht im Einzelfall ausdrücklich ein späterer Zeitpunkt festgesetzt wird beginnt der einstweilige Ruhestand mit dem Zeitpunkt zu dem die Versetzung in den einstweiligen Ruhestand der Beamtin oder dem Beamten bekannt gegeben wird spätestens jedoch mit dem Ende des dritten Monats der auf den Monat der Bekanntgabe folgt. Die Verfügung kann bis zum Beginn des Ruhestands zurückgenommen werden.,widerspruch
"Der Bundesfinanzhof kann über die Revision in der Besetzung von fünf Richtern entscheiden, wenn er einstimmig die Revision für unbegründet und eine mündliche Verhandlung nicht für erforderlich hält. Die Beteiligten sind vorher zu hören. Der Beschluss soll eine kurze Begründung enthalten; dabei sind die Voraussetzungen dieses Verfah","Der Bundesfinanzhof kann über die Revision in der Besetzung von fünf Richtern durch Beschluss entscheiden, wenn er einstimmig die Revision für unbegründet und eine mündliche Verhandlung nicht für erforderlich hält. Die Beteiligten sind vorher zu hören. Der Beschluss soll eine kurze Begründung enthalten; dabei sind die Voraussetzungen dieses Verfahrens festzustellen. § 126 Abs. 6 gilt entsprechend.",perfekt
"Die Vollstreckungsmaßregeln in den Fällen des § 775 Nr. 1, 3 sind aufzuheben.","In den Fällen des § 775 Nr. 1, 3 sind zugleich die bereits getroffenen Vollstreckungsmaßregeln aufzuheben. In den Fällen der Nummern 4, 5 bleiben diese Maßregeln einstweilen bestehen; dasselbe gilt in den Fällen der Nummer 2, sofern nicht durch die Entscheidung auch die Aufhebung der bisherigen Vollstreckungshandlungen angeordnet ist.",perfekt
Die Feste Kleidung darf nicht in Oberirdische Gewässer eingebracht werden.,Dem Einleiten von Abwasser in öffentliche Abwasseranlagen stehen Abwassereinleitungen Dritter in private Abwasseranlagen die der Beseitigung von gewerblichem Abwasser dienen gleich. Die zuständige Behörde kann Abwassereinleitungen nach Absatz 1 von der Genehmigungsbedürftigkeit nach Absatz 1 in Verbindung mit § 58 Absatz 1 freistellen wenn durch vertragliche Regelungen zwischen dem Betreiber der privaten Abwasseranlage und dem Einleiter die Einhaltung der Anforderungen nach § 58 Absatz 2 sichergestellt ist.,widerspruch
Vorstand ist auf Antrag eines Beteiligten bestellt.,Soweit die erforderlichen Mitglieder des Vorstands fehlen sind sie in dringenden Fällen für die Zeit bis zur Behebung des Mangels auf Antrag eines Beteiligten von dem Amtsgericht zu bestellen das für den Bezirk in dem der Verein seinen Sitz hat das Vereinsregister führt.,perfekt
"Das handschriftliche Dokument wird aufgeführt, wenn die verantwortlichen Personen am Ende des Dokuments ihre Namen hinzufügen.",Die Parteien haben ihre Erklärungen über tatsächliche Umstände vollständig und der Wahrheit gemäß abzugeben. Jede Partei hat sich über die von dem Gegner behaupteten Tatsachen zu erklären. Tatsachen die nicht ausdrücklich bestritten werden sind als zugestanden anzusehen wenn nicht die Absicht sie bestreiten zu wollen aus den übrigen Erklärungen der Partei hervorgeht. Eine Erklärung mit Nichtwissen ist nur über Tatsachen zulässig die weder eigene Handlungen der Partei noch Gegenstand ihrer eigenen Wahrnehmung gewesen sind.,widerspruch
Der Vorstand der Kassenärztlichen Vereinigung oder die in der Satzung festgelegte Stelle erteilt Bescheide über die Eintragungen und Streichungen im Arztregister. Der Arzt erhält über die Eintragungen und Streichungen und über die Ablehnung seiner Anträge auf Eintragung oder Streichung Bescheid.,Der Zulassungsausschuß hat von Amts wegen über die vollständige oder hälftige Entziehung der Zulassung zu beschließen wenn die Voraussetzungen nach § 95 Abs. 6 des Fünften Buches Sozialgesetzbuch gegeben sind. Die Kassenärztliche Vereinigung und die Landesverbände der Krankenkassen sowie die Ersatzkassen können die Entziehung der Zulassung beim Zulassungsausschuß unter Angabe der Gründe beantragen.,widerspruch
Der Antrag auf Vollstreckbarerklärung eines Schiedsspruchs muss vorliegen.,Mit dem Antrag auf Vollstreckbarerklärung eines Schiedsspruchs ist der Schiedsspruch oder eine beglaubigte Abschrift des Schiedsspruchs vorzulegen. Die Beglaubigung kann auch von dem für das gerichtliche Verfahren bevollmächtigten Rechtsanwalt vorgenommen werden. Der Beschluss durch den ein Schiedsspruch für vollstreckbar erklärt wird ist für vorläufig vollstreckbar zu erklären. Auf ausländische Schiedssprüche sind die Absätze 1 und 2 anzuwenden soweit Staatsverträge nicht ein anderes bestimmen.,perfekt
